schwebung 19.2cm
0.025 -1.337 2.486
0.050 -1.204 3.215
0.082 -1.182 3.749
0.107 -1.115 4.162
0.132 -1.049 4.478
0.157 -1.049 4.770
0.182 -0.982 5.013
0.207 -0.960 5.256
0.232 -0.849 5.402
0.257 -0.782 5.620
0.282 -0.716 5.645
0.307 -0.649 5.718
0.332 -0.583 5.718
0.357 -0.538 5.669
0.382 -0.449 5.572
0.407 -0.405 5.426
0.432 -0.338 5.232
0.457 -0.272 5.086
0.482 -0.139 4.794
0.507 -0.116 4.527
0.532 -0.028 4.187
0.557 -0.028 3.822
0.582 0.017 3.409
0.607 0.061 3.020
0.632 0.106 2.607
0.657 0.106 2.194
0.682 0.217 1.708
0.707 0.217 1.319
0.732 0.150 0.785
0.757 0.128 0.347
0.782 0.128 -0.114
0.807 0.083 -0.552
0.832 0.106 -1.062
0.857 -0.028 -1.402
0.882 0.017 -1.767
0.907 -0.072 -2.058
0.932 -0.139 -2.423
0.957 -0.183 -2.714
0.982 -0.272 -2.958
1.007 -0.383 -3.152
1.032 -0.427 -3.322
1.057 -0.516 -3.395
1.082 -0.583 -3.541
1.107 -0.671 -3.541
1.132 -0.760 -3.516
1.157 -0.849 -3.443
1.182 -0.960 -3.322
1.207 -1.027 -3.176
1.232 -1.115 -3.030
1.257 -1.182 -2.763
1.282 -1.249 -2.520
1.307 -1.337 -2.253
1.332 -1.360 -1.913
1.357 -1.448 -1.524
1.382 -1.515 -1.135
1.407 -1.604 -0.746
1.432 -1.537 -0.382
1.457 -1.604 0.104
1.482 -1.648 0.542
1.507 -1.604 1.003
1.532 -1.604 1.416
1.557 -1.582 1.927
1.582 -1.582 2.316
1.607 -1.537 2.802
1.632 -1.493 3.166
1.657 -1.471 3.579
1.682 -1.404 3.944
1.707 -1.315 4.284
1.732 -1.249 4.527
1.757 -1.138 4.818
1.782 -1.027 5.061
1.807 -1.004 5.183
1.832 -0.893 5.304
1.857 -0.805 5.402
1.882 -0.738 5.475
1.907 -0.560 5.523
1.932 -0.472 5.426
1.957 -0.383 5.353
1.982 -0.250 5.256
2.007 -0.183 5.110
2.032 -0.050 4.916
2.057 0.106 4.673
2.082 0.106 4.381
2.107 0.194 4.114
2.132 0.217 3.725
2.157 0.261 3.433
2.182 0.372 3.020
2.207 0.439 2.631
2.232 0.439 2.218
2.257 0.461 1.805
2.282 0.461 1.392
2.307 0.527 0.955
2.332 0.505 0.517
2.357 0.483 0.104
2.382 0.394 -0.333
2.407 0.416 -0.722
2.432 0.394 -1.086
2.457 0.283 -1.499
2.482 0.217 -1.815
2.507 0.150 -2.083
2.532 0.039 -2.399
2.557 -0.094 -2.666
2.582 -0.183 -2.812
2.607 -0.316 -3.055
2.632 -0.427 -3.152
2.657 -0.494 -3.225
2.682 -0.627 -3.200
2.707 -0.716 -3.225
2.732 -0.893 -3.200
2.757 -1.004 -3.176
2.782 -1.093 -3.006
2.807 -1.182 -2.860
2.832 -1.337 -2.617
2.857 -1.404 -2.350
2.882 -1.559 -2.180
2.907 -1.582 -1.815
2.932 -1.737 -1.475
2.957 -1.737 -1.111
2.982 -1.826 -0.698
3.007 -1.870 -0.430
3.032 -1.959 -0.017
3.057 -1.915 0.420
3.082 -1.937 0.906
3.107 -1.826 1.319
3.132 -1.915 1.708
3.157 -1.937 2.073
3.182 -1.848 2.461
3.207 -1.781 2.899
3.232 -1.715 3.215
3.257 -1.648 3.531
3.282 -1.559 3.895
3.307 -1.448 4.211
3.332 -1.404 4.454
3.357 -1.271 4.673
3.382 -1.182 4.867
3.407 -1.049 5.037
3.432 -0.849 5.134
3.457 -0.716 5.183
3.482 -0.605 5.256
3.507 -0.449 5.207
3.532 -0.316 5.159
3.557 -0.227 5.061
3.582 -0.072 4.916
3.607 0.083 4.721
3.632 0.150 4.551
3.657 0.283 4.308
3.682 0.394 4.041
3.707 0.461 3.725
3.732 0.572 3.385
3.757 0.683 3.020
3.782 0.705 2.680
3.807 0.727 2.291
3.832 0.705 1.927
3.857 0.772 1.489
3.882 0.794 1.125
3.912 0.794 0.663
3.937 0.749 0.201
3.962 0.705 -0.114
3.987 0.683 -0.527
4.012 0.661 -0.868
4.037 0.594 -1.208
4.062 0.394 -1.524
4.087 0.305 -1.840
4.112 0.239 -2.107
4.137 0.083 -2.326
4.162 -0.072 -2.471
4.187 -0.205 -2.739
4.213 -0.427 -2.860
4.238 -0.494 -2.885
4.263 -0.627 -2.933
4.288 -0.782 -2.933
4.314 -0.960 -2.885
4.339 -1.115 -2.787
4.364 -1.226 -2.690
4.389 -1.360 -2.520
4.414 -1.448 -2.374
4.439 -1.582 -2.156
4.464 -1.693 -1.888
4.489 -1.826 -1.645
4.514 -1.937 -1.354
4.539 -1.981 -1.062
4.564 -2.092 -0.698
4.589 -2.092 -0.333
4.614 -2.137 0.031
4.639 -2.159 0.445
