t / s	&J_A21 / °C
0	-26,4
1	-26,8
2	-26,6
3	-26,8
4	-26,3
5	-26,4
6	-26,7
7	-26,3
8	-26,0
9	-26,5
10	-26,2
11	-25,9
12	-25,6
13	-25,4
14	-26,2
15	-24,5
16	-23,3
17	-22,6
18	-23,6
19	-22,1
20	-23,3
21	-20,4
22	-20,8
23	-19,7
24	-18,8
25	-18,6
26	-17,4
27	-16,6
28	-15,8
29	-14,9
30	-15,4
31	-14,1
32	-12,2
33	-11,4
34	-11,0
35	-9,7
36	-9,3
37	-8,4
38	-8,2
39	-7,2
40	-6,6
41	-7,1
42	-5,2
43	-4,6
44	-4,1
45	-6,1
46	-3,2
47	-2,7
48	-2,7
49	-2,5
50	-2,5
51	-2,5
52	-2,0
53	-2,2
54	-1,9
55	-2,4
56	-1,5
57	-1,6
58	-0,9
59	-1,8
60	-1,5
61	-2,4
62	-1,6
63	-2,6
64	-1,5
65	-1,3
66	-1,4
67	-1,4
68	-2,4
69	-2,3
70	-1,3
71	-1,3
72	-1,6
73	-0,9
74	-2,6
75	-2,8
76	-1,3
77	-1,2
78	-1,2
79	-1,3
80	-1,3
81	-1,3
82	-1,2
83	-1,2
84	-1,2
85	-1,4
86	-3,6
87	-1,0
88	-1,2
89	-1,1
90	-1,1
91	-1,4
92	-1,2
93	-1,1
94	-0,4
95	-0,9
96	-1,1
97	-1,1
98	-1,3
99	-1,1
100	-1,4
101	-0,9
102	-1,0
103	-0,9
104	-1,2
105	-1,0
106	-1,0
107	-1,7
108	-1,0
109	-1,1
110	-0,9
111	-0,8
112	-0,9
113	-0,9
114	-1,0
115	-0,9
116	-1,7
117	-1,0
118	-0,9
119	-0,9
120	-3,5
121	-0,8
122	-0,9
123	-1,6
124	-1,0
125	-1,0
126	-1,0
127	-0,7
128	-1,1
129	-2,6
130	-0,7
131	-0,8
132	-1,0
133	-2,1
134	-0,9
135	-0,6
136	-1,0
137	-1,0
138	-1,0
139	-0,7
140	-1,0
141	-2,5
142	-0,9
143	-0,9
144	-1,7
145	-0,9
146	-0,8
147	-0,7
148	-1,0
149	-0,7
150	-0,7
151	-0,6
152	-1,0
153	-0,7
154	-0,7
155	-0,7
156	-0,9
157	-0,6
158	-0,4
159	0,0
160	-0,9
161	-0,7
162	-0,6
163	-0,8
164	-0,9
165	-0,5
166	-0,8
167	-0,7
168	-1,7
169	-0,8
170	-0,8
171	-0,8
172	-0,7
173	-0,5
174	-0,7
175	-2,7
176	-1,0
177	-0,6
178	-0,5
179	-0,7
180	-0,9
181	-0,7
182	-0,7
183	-0,7
184	-2,3
185	-0,7
186	-0,7
187	-1,0
188	-0,5
189	-0,7
190	-1,0
191	-0,4
192	-0,5
193	-0,4
194	-0,4
195	-0,2
196	0,0
197	0,2
198	0,0
199	1,6
200	2,4
201	3,3
202	4,3
203	5,5
204	6,3
205	7,8
206	9,4
207	10,2
208	10,2
209	11,9
210	13,2
211	14,6
212	15,4
213	16,0
214	17,3
215	18,1
216	19,0
217	18,5
218	20,3
219	19,9
220	21,8
221	21,8
222	22,4
223	23,2
224	23,6
225	24,5
226	24,8
227	25,3
228	25,7
229	26,4
230	27,1
231	27,5
232	28,1
233	28,8
234	28,5
235	29,1
236	29,8
237	30,4
238	30,7
239	31,0
240	31,0
241	32,3
242	32,9
243	33,3
244	33,8
245	34,2
246	34,4
247	34,1
248	35,0
249	35,3
250	36,1
251	36,5
252	36,9
253	37,2
254	37,8
255	37,7
256	38,6
257	39,2
258	39,6
259	39,4
260	40,1
261	40,8
262	40,8
263	41,2
264	41,1
265	42,1
266	42,2
267	42,5
268	43,2
269	43,4
270	44,0
271	43,9
272	44,6
273	44,8
274	45,2
275	45,7
276	45,8
277	46,1
278	46,4
279	47,0
280	47,4
281	47,8
282	48,1
283	47,9
284	48,6
285	49,1
286	48,9
287	49,2
288	49,9
289	49,8
290	50,5
291	50,8
292	51,2
293	51,2
294	51,6
295	52,0
296	52,4
297	52,5
298	53,0
299	53,2
300	53,6
301	53,5
302	53,9
303	54,2
304	54,5
305	54,8
306	55,1
307	54,8
308	55,6
309	55,9
310	56,0
311	56,5
312	56,7
313	56,9
314	57,1
315	57,2
316	57,1
317	57,3
318	57,6
319	58,1
320	58,2
321	58,7
322	58,9
323	59,2
324	59,3
325	59,4
326	59,9
327	60,2
328	60,1
329	60,6
330	60,3
331	60,8
332	61,0
333	61,2
334	61,2
335	61,7
336	60,9
337	61,9
338	62,1
339	62,6
340	62,4
341	62,9
342	62,9
343	62,9
344	63,5
345	63,5
346	63,8
347	63,8
348	64,1
349	64,2
350	64,6
351	64,7
352	65,0
353	65,1
354	65,2
355	65,6
356	65,7
357	65,8
358	65,8
359	66,1
360	65,9
361	66,3
362	66,4
363	66,7
364	67,0
365	66,7
366	67,0
367	66,5
368	67,2
369	67,7
370	66,2
371	68,1
372	68,2
373	68,3
374	68,2
375	68,4
376	68,8
377	68,6
378	69,1
379	69,2
380	69,3
381	69,4
382	69,5
383	69,9
384	70,1
385	70,2
386	70,4
387	70,3
388	70,3
389	70,4
390	69,7
391	70,6
392	71,0
393	71,0
394	70,1
395	71,2
396	71,6
397	71,5
398	71,8
399	71,6
400	72,1
401	72,1
402	72,2
403	72,4
404	72,3
405	72,4
406	72,5
407	72,7
408	71,8
409	73,2
410	73,0
411	73,1
412	73,6
413	73,6
414	73,5
415	73,6
416	73,8
417	74,0
418	74,0
419	74,0
420	74,1
421	74,3
422	74,6
423	74,5
424	74,5
425	74,8
426	75,0
427	75,2
428	74,7
429	73,4
430	75,5
431	75,3
432	75,3
433	75,5
434	75,8
435	75,6
436	75,8
437	75,8
438	76,2
439	76,2
440	76,3
441	76,3
442	76,6
443	76,8
444	76,9
445	77,0
446	77,0
447	76,8
448	77,2
449	77,2
450	77,3
451	77,6
452	77,4
453	77,8
454	77,6
455	77,9
456	77,9
457	78,0
458	78,1
459	77,9
460	78,2
461	78,4
462	78,5
463	78,4
464	78,7
465	78,8
466	78,9
467	78,9
468	79,1
469	78,4
470	79,3
471	79,3
472	78,4
473	79,2
474	79,6
475	79,4
476	79,6
477	79,7
478	79,8
479	79,9
480	79,9
481	80,0
482	80,1
483	80,4
484	80,4
485	80,2
486	80,3
487	80,3
488	80,3
489	80,4
490	80,7
491	80,0
492	80,8
493	80,7
494	80,9
495	81,2
496	81,0
497	81,1
498	81,1
499	81,1
500	81,3
501	81,3
502	81,3
503	80,3
504	80,5
505	81,6
506	82,3
507	81,9
508	81,8
509	82,1
510	82,2
511	82,2
512	82,3
513	82,4
514	82,5
515	81,2
516	82,6
517	82,5
518	82,8
519	82,4
520	82,6
521	82,8
522	82,8
523	83,0
524	83,1
525	83,3
526	83,4
527	83,4
528	83,4
529	83,3
530	83,5
531	83,6
532	83,3
533	82,9
534	83,7
535	83,7
536	83,8
537	83,7
538	83,9
539	83,9
540	83,7
541	84,1
542	83,9
543	84,2
544	84,4
545	84,4
546	84,5
547	84,5
548	84,5
549	84,6
550	83,7
551	84,7
552	84,8
553	84,9
554	84,9
555	84,0
556	85,0
557	85,0
558	85,1
559	85,0
560	85,3
561	85,2
562	85,3
563	85,1
564	85,5
565	85,2
566	85,0
567	85,4
568	85,6
569	85,6
570	85,8
571	85,8
572	86,0
573	86,0
574	86,0
575	86,0
576	85,9
577	86,0
578	86,2
579	86,1
580	85,9
581	86,4
582	86,2
583	86,4
584	86,3
585	85,1
586	86,5
587	86,6
588	86,6
589	86,7
590	86,7
591	86,7
592	86,8
593	86,9
594	86,9
595	86,8
596	86,6
597	86,9
598	86,7
599	85,9
600	86,9
601	86,5
602	87,2
603	87,2
604	86,7
605	87,0
606	86,9
607	87,3
608	87,3
609	87,1
610	87,6
611	87,6
612	87,6
613	87,3
614	87,6
615	87,6
616	87,5
617	87,5
618	87,8
619	87,7
620	87,8
621	87,9
622	87,7
623	88,0
624	88,0
625	87,8
626	87,7
627	87,8
628	87,8
629	87,5
630	86,8
631	88,0
632	87,8
633	88,0
634	87,6
635	88,5
636	88,1
637	88,2
638	87,7
639	87,7
640	88,4
641	88,3
642	88,4
643	88,3
644	88,4
645	88,4
646	89,0
647	88,4
648	88,3
649	88,5
650	88,7
651	88,8
652	88,7
653	88,8
654	88,8
655	88,8
656	88,2
657	88,9
658	88,9
659	88,7
660	89,2
661	89,0
662	89,2
663	89,3
664	89,1
665	89,3
666	89,2
667	88,6
668	88,3
669	89,3
670	89,4
671	89,6
672	89,2
673	89,6
674	89,4
675	89,6
676	89,4
677	89,7
678	89,5
679	89,5
680	89,6
681	89,8
682	89,6
683	89,6
684	89,6
685	89,5
686	89,8
687	90,1
688	89,7
689	89,6
690	90,2
691	88,5
692	89,7
693	90,0
694	90,0
695	90,0
696	90,3
697	90,1
698	90,1
699	89,7
700	90,1
701	89,0
702	90,4
703	88,1
704	90,5
705	90,5
706	90,5
707	90,5
708	90,6
709	90,7
710	89,9
711	90,7
712	90,7
713	90,0
714	90,6
715	90,4
716	90,8
717	90,7
718	90,7
719	90,8
720	91,0
721	90,3
722	90,2
723	90,9
724	90,6
725	90,9
726	89,7
727	89,9
728	90,5
729	91,0
730	90,9
731	91,3
732	90,8
733	91,3
734	90,5
735	91,0
736	91,3
737	91,3
738	91,3
739	91,1
740	91,1
741	91,2
742	91,5
743	91,5
744	91,2
745	91,4
746	91,5
747	91,5
748	91,6
749	91,5
750	91,5
751	91,5
752	91,4
753	90,5
754	90,3
755	91,4
756	91,3
757	91,7
758	91,5
759	91,1
760	91,7
761	91,7
762	91,7
763	91,7
764	91,7
765	91,8
766	91,8
767	92,0
768	92,0
769	91,7
770	92,0
771	91,9
772	91,9
773	91,5
774	91,7
775	91,7
776	91,5
777	92,1
778	91,9
779	91,7
780	91,9
781	91,7
782	91,9
783	92,1
784	92,0
785	91,9
786	92,1
787	92,1
788	92,0
789	92,1
790	91,9
791	91,5
792	92,2
793	91,9
794	92,0
795	91,9
796	92,3
797	92,2
798	92,0
799	92,1
800	92,4
801	92,0
802	92,1
803	91,3
804	92,3
805	91,9
806	92,3
807	92,3
808	92,0
809	92,5
810	92,4
811	92,4
812	92,3
813	92,6
814	92,3
815	92,5
816	92,5
817	92,5
818	92,5
819	92,5
820	92,5
821	92,5
822	92,4
823	92,5
824	92,6
825	92,7
826	92,6
827	92,7
828	92,4
829	92,9
830	92,7
831	92,4
832	92,8
833	92,2
834	93,0
835	92,7
836	92,8
837	93,0
838	92,7
839	93,0
840	92,8
841	92,6
842	92,8
843	93,0
844	92,7
845	92,8
846	93,0
847	93,0
848	92,9
849	93,0
850	92,8
851	92,8
852	92,9
853	92,8
854	93,0
855	93,0
856	92,9
857	93,3
858	90,8
859	93,1
860	93,1
861	93,0
862	93,0
863	93,0
864	93,2
865	93,2
866	93,3
867	93,0
868	93,3
869	93,2
870	93,5
871	93,3
872	93,3
873	93,5
874	93,3
875	93,6
876	93,3
877	92,9
878	93,2
879	93,2
880	93,4
881	93,8
882	93,1
883	93,3
884	93,5
885	93,3
886	93,3
887	93,6
888	93,6
889	93,3
890	92,9
891	93,7
892	93,3
893	93,7
894	93,1
895	93,0
896	93,8
897	93,3
898	93,3
899	90,9
900	93,1
