MessNr	Zeit t	Ort x	y
1.000	1.000	51.120	42.762
2.000	2.001	51.120	42.762
3.000	3.001	51.029	43.673
4.000	4.002	50.300	43.218
5.000	5.002	50.117	41.850
6.000	6.003	50.938	42.762
7.000	7.003	51.667	42.397
8.000	8.004	52.669	42.306
9.000	9.005	54.491	40.482
10.000	10.005	54.218	39.479
11.000	11.006	54.036	40.479
12.000	12.006	53.673	41.297
13.000	13.007	53.309	39.934
14.000	14.007	51.854	39.116
15.000	15.008	51.491	38.207
16.000	16.008	50.036	39.843
17.000	17.009	49.218	42.297
18.000	18.009	49.673	41.116
19.000	19.010	49.218	40.479
20.000	20.010	47.763	39.207
21.000	21.011	46.673	38.116
22.000	22.011	44.673	35.843
23.000	23.011	46.491	36.116
24.000	24.012	44.763	34.116
25.000	25.012	44.309	33.479
26.000	26.013	47.400	32.843
27.000	27.014	49.218	32.479
28.000	28.015	49.218	32.388
29.000	29.015	50.854	31.661
30.000	30.016	52.491	31.025
31.000	31.016	53.582	30.752
32.000	32.017	52.127	30.843
33.000	33.017	52.400	29.934
34.000	34.018	52.763	31.479
35.000	35.018	52.582	30.843
36.000	36.019	52.127	30.479
37.000	37.019	52.854	31.207
38.000	38.019	53.673	31.297
39.000	39.020	51.854	30.388
40.000	40.020	52.400	30.207
41.000	41.021	52.400	30.207
42.000	42.021	52.945	31.116
43.000	43.022	54.127	31.116
44.000	44.023	56.854	31.843
45.000	45.024	54.582	32.570
46.000	46.024	53.218	31.570
47.000	47.025	52.127	31.843
48.000	48.025	52.763	31.116
49.000	49.025	53.491	31.661
50.000	50.026	52.854	32.116
51.000	51.026	52.854	32.116
52.000	52.027	53.036	30.934
53.000	53.027	54.036	30.025
54.000	54.028	53.036	30.388
55.000	55.028	53.582	30.388
56.000	56.029	53.854	31.570
57.000	57.029	54.309	31.388
58.000	58.030	53.218	32.570
59.000	59.030	52.491	32.843
60.000	60.031	51.127	32.297
61.000	61.031	50.763	33.934
62.000	62.032	50.854	33.843
63.000	63.033	50.673	33.570
64.000	64.033	51.582	33.570
65.000	65.034	50.673	33.207
66.000	66.034	49.763	33.025
67.000	67.035	49.763	31.116
68.000	68.035	49.763	32.116
69.000	69.036	50.763	29.843
70.000	70.036	50.945	28.934
71.000	71.037	51.763	30.752
72.000	72.037	51.218	30.116
73.000	73.037	51.218	28.661
74.000	74.038	49.763	28.025
75.000	75.039	50.763	27.297
76.000	76.039	50.945	27.934
77.000	77.039	51.491	28.388
78.000	78.040	50.854	30.479
79.000	79.041	51.491	30.388
80.000	80.042	52.763	29.297
81.000	81.042	53.763	28.479
82.000	82.043	53.309	28.388
83.000	83.043	54.854	29.843
84.000	84.044	56.854	28.934
85.000	85.044	57.400	29.570
86.000	86.045	56.673	28.843
87.000	87.045	57.582	27.752
88.000	88.045	57.400	28.297
89.000	89.046	57.854	26.843
90.000	90.046	56.309	27.025
91.000	91.047	56.673	24.752
92.000	92.047	56.127	23.934
93.000	93.048	56.491	22.297
94.000	94.048	57.127	22.570
95.000	95.049	56.218	22.479
96.000	96.050	55.582	22.025
97.000	97.051	52.945	22.843
98.000	98.051	54.309	21.934
99.000	99.051	53.309	20.297
100.000	100.052	50.582	19.388
101.000	101.052	50.127	19.207
102.000	102.053	49.582	18.843
103.000	103.053	50.491	18.116
104.000	104.054	50.491	20.752
105.000	105.054	51.218	20.752
106.000	106.055	51.582	22.388
107.000	107.055	53.582	22.297
108.000	108.056	52.854	21.479
109.000	109.056	53.400	23.752
110.000	110.057	53.036	23.934
111.000	111.057	51.582	23.479
112.000	112.058	51.127	22.297
113.000	113.058	51.309	20.843
114.000	114.059	50.491	21.297
115.000	115.060	51.218	20.843
116.000	116.060	51.218	20.116
117.000	117.061	51.036	20.207
118.000	118.061	51.218	20.479
119.000	119.062	49.673	20.388
120.000	120.062	48.945	20.116
121.000	121.063	50.309	20.752
122.000	122.063	50.854	19.661
123.000	123.064	51.491	16.570
124.000	124.064	51.036	17.388
125.000	125.065	52.309	19.025
126.000	126.065	53.309	18.116
127.000	127.065	54.036	17.297
128.000	128.066	54.582	16.207
129.000	129.066	54.582	15.934
130.000	130.067	54.400	17.025
131.000	131.068	55.309	16.479
132.000	132.069	54.582	16.025
133.000	133.069	53.854	15.934
134.000	134.070	55.491	15.843
135.000	135.070	55.127	16.843
136.000	136.071	53.127	18.025
137.000	137.071	51.582	17.843
138.000	138.071	52.854	18.116
139.000	139.072	53.763	17.843
140.000	140.072	53.854	17.207
141.000	141.073	54.218	16.570
142.000	142.073	54.763	16.116
143.000	143.074	56.127	17.388
144.000	144.074	57.218	17.388
145.000	145.075	56.673	18.843
146.000	146.075	55.309	16.934
147.000	147.076	53.945	18.116
148.000	148.076	55.036	17.752
149.000	149.078	56.127	17.661
150.000	150.078	53.309	18.297
151.000	151.079	52.763	17.116
152.000	152.079	52.491	18.570
153.000	153.079	51.763	19.388
154.000	154.080	52.036	22.388
155.000	155.080	51.218	24.207
156.000	156.081	51.309	24.297
