F [Hz]	dF [Hz]	Uss,h [V] dUss,h [V]	Ih [mA]	dIh [mA]	Uss [V]
20.2	0.1	4.1	0.1	354	1	1.78
40.2	0.1	3.95	0.1	224	1	2.22
60.5	0.1	3.7	0.1	156	1	2.35
80.5	0.1	3.6	0.1	120	1	2.38
101	1	3.5	0.1	95	0.1	2.4
120	1	3.5	0.05	80.8	0.1	2.38
140	1	3.5	0.05	69.7	0.1	2.4
162	1	3.52	0.05	60.4	0.1	2.43
184	1	3.55	0.05	54.05	0.01	2.43
202	1	3.55	0.05	49.26	0.01	2.43
400	1	3.55	0.05	25.11	0.01	2.46
601	1	3.55	0.05	16.76	0.01	2.46
803	1	3.55	0.05	12.51	0.01	2.45
1.01e3	10	3.56	0.05	9.95	0.01	2.47
1.21e3	10	3.56	0.05	8.3	0.01	2.48
1.41e3	10	3.55	0.05	7.1	0.01	2.48
1.62e3	10	3.56	0.05	6.18	0.01	2.52
1.82e3	10	3.55	0.05	5.48	0.01	2.52
2.02e3	10	3.55	0.05	4.96	0.01	2.56
