b [°]	n [1/s]
3,000	10,600
3,200	13,200
3,400	11,400
3,600	12,000
3,800	11,600
4,000	12,200
4,200	12,600
4,400	11,200
4,600	16,200
4,800	16,000
5,000	18,000
5,200	17,000
5,400	17,200
5,600	25,200
5,800	45,800
6,000	83,000
6,200	102,200
6,400	125,400
6,600	135,400
6,800	151,600
7,000	160,800
7,200	162,400
7,400	178,600
7,600	175,600
7,800	175,600
8,000	177,000
8,200	161,000
8,400	170,000
8,600	175,200
8,800	279,800
9,000	258,200
9,200	167,000
9,400	155,600
9,600	160,800
9,800	232,400
10,000	677,800
10,200	383,000
10,400	149,400
10,600	132,400
10,800	127,200
11,000	122,600
11,200	108,400
11,400	109,800
11,600	100,000
11,800	96,600
12,000	100,800
12,200	89,000
12,400	86,200
12,600	84,000
12,800	80,200
13,000	72,000
13,200	67,400
13,400	63,400
13,600	60,400
13,800	59,600
14,000	53,000
14,200	56,800
14,400	47,000
14,600	45,400
14,800	51,600
15,000	48,800
15,200	48,000
15,400	45,200
15,600	44,600
15,800	42,200
16,000	41,800
16,200	41,800
16,400	42,600
16,600	39,400
16,800	37,600
17,000	36,200
17,200	36,400
17,400	38,400
17,600	35,800
17,800	34,800
18,000	47,600
18,200	51,000
18,400	38,000
18,600	35,200
18,800	40,200
19,000	38,400
19,200	35,000
19,400	35,400
19,600	36,800
19,800	35,200
20,000	30,200
20,200	35,200
20,400	86,600
20,600	96,000
20,800	38,600
21,000	26,600
21,200	34,600
21,400	28,600
21,600	28,400
21,800	33,400
22,000	25,400
