E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_7 / keV	N_7
-0,99	0	-0,99	0	-0,99	0	-0,99	0	-0,99	0	-0,99	0	-0,99	0
-0,93	0	-0,93	0	-0,93	0	-0,93	0	-0,93	0	-0,93	0	-0,93	0
-0,86	0	-0,86	0	-0,86	0	-0,86	0	-0,86	0	-0,86	0	-0,86	0
-0,79	0	-0,79	0	-0,79	0	-0,79	0	-0,79	0	-0,79	0	-0,79	0
-0,73	0	-0,73	0	-0,73	0	-0,73	0	-0,73	0	-0,73	0	-0,73	0
-0,66	0	-0,66	0	-0,66	0	-0,66	0	-0,66	0	-0,66	0	-0,66	0
-0,59	0	-0,59	0	-0,59	0	-0,59	0	-0,59	0	-0,59	0	-0,59	0
-0,53	0	-0,53	0	-0,53	0	-0,53	0	-0,53	0	-0,53	0	-0,53	0
-0,46	0	-0,46	0	-0,46	0	-0,46	0	-0,46	0	-0,46	0	-0,46	0
-0,39	0	-0,39	0	-0,39	0	-0,39	0	-0,39	0	-0,39	0	-0,39	0
-0,33	0	-0,33	0	-0,33	0	-0,33	0	-0,33	0	-0,33	0	-0,33	0
-0,26	0	-0,26	0	-0,26	0	-0,26	0	-0,26	0	-0,26	0	-0,26	0
-0,19	0	-0,19	0	-0,19	0	-0,19	0	-0,19	0	-0,19	0	-0,19	0
-0,13	0	-0,13	0	-0,13	0	-0,13	0	-0,13	0	-0,13	0	-0,13	0
-0,06	0	-0,06	0	-0,06	0	-0,06	0	-0,06	0	-0,06	0	-0,06	0
0,01	0	0,01	0	0,01	0	0,01	0	0,01	0	0,01	0	0,01	0
0,07	0	0,07	0	0,07	0	0,07	0	0,07	0	0,07	0	0,07	0
0,14	0	0,14	0	0,14	0	0,14	0	0,14	0	0,14	0	0,14	0
0,21	0	0,21	0	0,21	0	0,21	0	0,21	0	0,21	0	0,21	0
0,27	0	0,27	0	0,27	0	0,27	0	0,27	0	0,27	0	0,27	0
0,34	0	0,34	0	0,34	0	0,34	0	0,34	0	0,34	0	0,34	0
0,41	0	0,41	0	0,41	0	0,41	0	0,41	0	0,41	0	0,41	0
0,47	0	0,47	0	0,47	0	0,47	0	0,47	0	0,47	0	0,47	0
0,54	0	0,54	0	0,54	0	0,54	0	0,54	0	0,54	0	0,54	0
0,61	0	0,61	0	0,61	0	0,61	0	0,61	0	0,61	0	0,61	0
0,67	0	0,67	0	0,67	0	0,67	0	0,67	0	0,67	0	0,67	0
0,74	0	0,74	0	0,74	0	0,74	0	0,74	0	0,74	0	0,74	0
0,81	0	0,81	0	0,81	0	0,81	0	0,81	0	0,81	0	0,81	0
0,87	0	0,87	0	0,87	0	0,87	0	0,87	0	0,87	0	0,87	0
0,94	0	0,94	0	0,94	0	0,94	0	0,94	0	0,94	1	0,94	0
1,01	0	1,01	0	1,01	0	1,01	0	1,01	0	1,01	0	1,01	0
1,07	0	1,07	0	1,07	0	1,07	0	1,07	1	1,07	0	1,07	0
1,14	0	1,14	0	1,14	0	1,14	2	1,14	1	1,14	0	1,14	0
1,21	2	1,21	0	1,21	1	1,21	1	1,21	0	1,21	0	1,21	1
1,27	1	1,27	0	1,27	1	1,27	1	1,27	1	1,27	2	1,27	1
1,34	0	1,34	2	1,34	1	1,34	1	1,34	2	1,34	2	1,34	2
1,41	3	1,41	2	1,41	0	1,41	2	1,41	1	1,41	5	1,41	3
1,47	2	1,47	0	1,47	3	1,47	2	1,47	2	1,47	1	1,47	1
1,54	3	1,54	2	1,54	4	1,54	1	1,54	3	1,54	8	1,54	5
1,61	4	1,61	3	1,61	1	1,61	0	1,61	4	1,61	10	1,61	4
1,67	4	1,67	2	1,67	2	1,67	4	1,67	6	1,67	10	1,67	3
1,74	3	1,74	5	1,74	4	1,74	5	1,74	1	1,74	6	1,74	2
1,81	8	1,81	2	1,81	2	1,81	4	1,81	13	1,81	6	1,81	2
1,87	5	1,87	4	1,87	3	1,87	8	1,87	6	1,87	10	1,87	6
1,94	6	1,94	1	1,94	2	1,94	6	1,94	7	1,94	7	1,94	4
2,01	5	2,01	7	2,01	6	2,01	5	2,01	10	2,01	8	2,01	9
2,07	7	2,07	7	2,07	2	2,07	3	2,07	10	2,07	9	2,07	4
