E_1 / keV	N_1	E_2 / keV	N_2	E_3 / keV	N_3	E_4 / keV	N_4	E_5 / keV	N_5	E_6 / keV	N_6	E_8 / keV	N_8
-0.98	0	-0.98	0	-0.98	0	-0.98	0	-0.98	0	-0.98	0	-0.98	0
-0.92	0	-0.92	0	-0.92	0	-0.92	0	-0.92	0	-0.92	0	-0.92	0
-0.85	0	-0.85	0	-0.85	0	-0.85	0	-0.85	0	-0.85	0	-0.85	0
-0.78	0	-0.78	0	-0.78	0	-0.78	0	-0.78	0	-0.78	0	-0.78	0
-0.72	0	-0.72	0	-0.72	0	-0.72	0	-0.72	0	-0.72	0	-0.72	0
-0.65	0	-0.65	0	-0.65	0	-0.65	0	-0.65	0	-0.65	0	-0.65	0
-0.58	0	-0.58	0	-0.58	0	-0.58	0	-0.58	0	-0.58	0	-0.58	0
-0.52	0	-0.52	0	-0.52	0	-0.52	0	-0.52	0	-0.52	0	-0.52	0
-0.45	0	-0.45	0	-0.45	0	-0.45	0	-0.45	0	-0.45	0	-0.45	0
-0.39	0	-0.39	0	-0.39	0	-0.39	0	-0.39	0	-0.39	0	-0.39	0
-0.32	0	-0.32	0	-0.32	0	-0.32	0	-0.32	0	-0.32	0	-0.32	0
-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0	-0.25	0
-0.19	0	-0.19	0	-0.19	0	-0.19	0	-0.19	0	-0.19	0	-0.19	0
-0.12	0	-0.12	0	-0.12	0	-0.12	0	-0.12	0	-0.12	0	-0.12	0
-0.05	0	-0.05	0	-0.05	0	-0.05	0	-0.05	0	-0.05	0	-0.05	0
0.01	0	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0
0.08	0	0.08	0	0.08	0	0.08	0	0.08	0	0.08	3	0.08	0
0.15	0	0.15	0	0.15	0	0.15	0	0.15	0	0.15	1	0.15	0
0.21	0	0.21	0	0.21	1	0.21	0	0.21	0	0.21	3	0.21	0
0.28	0	0.28	0	0.28	0	0.28	0	0.28	0	0.28	5	0.28	0
0.35	0	0.35	0	0.35	0	0.35	0	0.35	0	0.35	5	0.35	0
0.41	0	0.41	0	0.41	1	0.41	0	0.41	0	0.41	9	0.41	0
0.48	0	0.48	0	0.48	1	0.48	0	0.48	0	0.48	15	0.48	0
0.55	0	0.55	0	0.55	1	0.55	1	0.55	0	0.55	18	0.55	0
0.61	0	0.61	0	0.61	3	0.61	0	0.61	0	0.61	23	0.61	0
0.68	0	0.68	0	0.68	4	0.68	3	0.68	0	0.68	29	0.68	0
0.75	0	0.75	0	0.75	6	0.75	0	0.75	0	0.75	28	0.75	0
0.81	0	0.81	0	0.81	3	0.81	4	0.81	0	0.81	55	0.81	0
0.88	0	0.88	0	0.88	6	0.88	8	0.88	0	0.88	42	0.88	0
0.95	0	0.95	0	0.95	4	0.95	15	0.95	0	0.95	64	0.95	0
1.01	0	1.01	0	1.01	8	1.01	27	1.01	0	1.01	76	1.01	0
1.08	1	1.08	0	1.08	11	1.08	24	1.08	1	1.08	91	1.08	0
1.15	0	1.15	0	1.15	4	1.15	38	1.15	0	1.15	95	1.15	0
1.21	0	1.21	0	1.21	10	1.21	48	1.21	0	1.21	98	1.21	0
1.28	3	1.28	0	1.28	1	1.28	79	1.28	3	1.28	140	1.28	0
1.35	0	1.35	1	1.35	7	1.35	65	1.35	3	1.35	159	1.35	0
1.41	2	1.41	2	1.41	7	1.41	94	1.41	2	1.41	147	1.41	1
1.48	2	1.48	0	1.48	8	1.48	92	1.48	6	1.48	177	1.48	2
1.55	3	1.55	1	1.55	11	1.55	105	1.55	5	1.55	172	1.55	1
1.61	6	1.61	4	1.61	11	1.61	113	1.61	6	1.61	178	1.61	1
1.68	2	1.68	3	1.68	11	1.68	94	1.68	6	1.68	156	1.68	0
1.75	3	1.75	5	1.75	11	1.75	101	1.75	11	1.75	179	1.75	1
1.81	4	1.81	0	1.81	16	1.81	102	1.81	9	1.81	188	1.81	0
1.88	4	1.88	4	1.88	13	1.88	115	1.88	17	1.88	159	1.88	2
1.95	5	1.95	2	1.95	19	1.95	122	1.95	6	1.95	135	1.95	2
2.01	5	2.01	3	2.01	18	2.01	109	2.01	5	2.01	115	2.01	0
2.08	7	2.08	4	2.08	8	2.08	117	2.08	5	2.08	110	2.08	3
2.15	6	2.15	4	2.15	9	2.15	130	2.15	6	2.15	96	2.15	0
2.21	7	2.21	6	2.21	10	2.21	112	2.21	9	2.21	101	2.21	4
2.28	9	2.28	5	2.28	15	2.28	119	2.28	17	2.28	79	2.28	2
2.34	5	2.34	2	2.34	5	2.34	98	2.34	14	2.34	71	2.34	1
2.41	3	2.41	8	2.41	5	2.41	96	2.41	9	2.41	41	2.41	0
2.48	6	2.48	8	2.48	6	2.48	73	2.48	5	2.48	43	2.48	5
2.54	4	2.54	7	2.54	11	2.54	61	2.54	3	2.54	29	2.54	6
2.61	7	2.61	8	2.61	3	2.61	55	2.61	9	2.61	39	2.61	9
2.68	12	2.68	15	2.68	12	2.68	69	2.68	12	2.68	33	2.68	7
2.74	11	2.74	9	2.74	3	2.74	39	2.74	11	2.74	35	2.74	11
2.81	4	2.81	11	2.81	6	2.81	55	2.81	13	2.81	27	2.81	11
2.88	6	2.88	13	2.88	14	2.88	31	2.88	14	2.88	32	2.88	12
2.94	11	2.94	23	2.94	10	2.94	32	2.94	11	2.94	34	2.94	9
3.01	8	3.01	21	3.01	3	3.01	23	3.01	11	3.01	45	3.01	9
3.08	3	3.08	24	3.08	6	3.08	19	3.08	11	3.08	40	3.08	1
3.14	7	3.14	17	3.14	9	3.14	20	3.14	11	3.14	54	3.14	10
3.21	12	3.21	16	3.21	4	3.21	13	3.21	10	3.21	64	3.21	4
3.28	6	3.28	34	3.28	7	3.28	18	3.28	8	3.28	67	3.28	0
3.34	4	3.34	21	3.34	4	3.34	13	3.34	12	3.34	69	3.34	4
3.41	6	3.41	35	3.41	6	3.41	13	3.41	13	3.41	70	3.41	2
3.48	5	3.48	33	3.48	5	3.48	12	3.48	7	3.48	89	3.48	0
3.54	9	3.54	30	3.54	6	3.54	15	3.54	12	3.54	95	3.54	2
3.61	13	3.61	44	3.61	4	3.61	17	3.61	8	3.61	76	3.61	0
3.68	12	3.68	38	3.68	7	3.68	9	3.68	10	3.68	78	3.68	3
3.74	10	3.74	36	3.74	5	3.74	14	3.74	13	3.74	73	3.74	0
3.81	11	3.81	42	3.81	7	3.81	10	3.81	5	3.81	82	3.81	2
3.88	8	3.88	46	3.88	4	3.88	9	3.88	8	3.88	75	3.88	0
3.94	10	3.94	39	3.94	4	3.94	15	3.94	10	3.94	72	3.94	1
4.01	7	4.01	39	4.01	3	4.01	14	4.01	12	4.01	90	4.01	0
4.08	10	4.08	45	4.08	4	4.08	15	4.08	8	4.08	88	4.08	1
4.14	11	4.14	32	4.14	8	4.14	17	4.14	8	4.14	88	4.14	2
4.21	7	4.21	20	4.21	6	4.21	10	4.21	12	4.21	94	4.21	1
4.28	11	4.28	26	4.28	8	4.28	20	4.28	12	4.28	100	4.28	1
4.34	12	4.34	11	4.34	11	4.34	13	4.34	14	4.34	82	4.34	0
4.41	19	4.41	23	4.41	1	4.41	12	4.41	19	4.41	83	4.41	2
4.48	10	4.48	9	4.48	7	4.48	15	4.48	10	4.48	75	4.48	1
4.54	12	4.54	18	4.54	4	4.54	11	4.54	10	4.54	68	4.54	0
4.61	15	4.61	7	4.61	6	4.61	16	4.61	12	4.61	52	4.61	1
4.68	17	4.68	14	4.68	6	4.68	17	4.68	17	4.68	52	4.68	2
4.74	9	4.74	17	4.74	4	4.74	17	4.74	11	4.74	50	4.74	4
4.81	14	4.81	9	4.81	8	4.81	22	4.81	11	4.81	45	4.81	0
4.88	15	4.88	22	4.88	3	4.88	15	4.88	10	4.88	50	4.88	2
4.94	18	4.94	16	4.94	7	4.94	12	4.94	12	4.94	30	4.94	1
5.01	11	5.01	18	5.01	7	5.01	23	5.01	9	5.01	23	5.01	2
5.07	15	5.07	20	5.07	6	5.07	23	5.07	9	5.07	29	5.07	0
5.14	19	5.14	25	5.14	7	5.14	26	5.14	11	5.14	34	5.14	0
5.21	21	5.21	13	5.21	6	5.21	18	5.21	16	5.21	22	5.21	1
5.27	15	5.27	13	5.27	4	5.27	21	5.27	19	5.27	23	5.27	0
