# E [eV]	n [1/s]
-9.899999999999999911e-01	0.000000000000000000e+00
-9.300000000000000488e-01	0.000000000000000000e+00
-8.599999999999999867e-01	0.000000000000000000e+00
-7.900000000000000355e-01	0.000000000000000000e+00
-7.299999999999999822e-01	0.000000000000000000e+00
-6.600000000000000311e-01	0.000000000000000000e+00
-5.899999999999999689e-01	0.000000000000000000e+00
-5.300000000000000266e-01	0.000000000000000000e+00
-4.600000000000000200e-01	0.000000000000000000e+00
-3.900000000000000133e-01	0.000000000000000000e+00
-3.300000000000000155e-01	0.000000000000000000e+00
-2.600000000000000089e-01	0.000000000000000000e+00
-1.900000000000000022e-01	0.000000000000000000e+00
-1.300000000000000044e-01	0.000000000000000000e+00
-5.999999999999999778e-02	0.000000000000000000e+00
1.000000000000000021e-02	0.000000000000000000e+00
7.000000000000000666e-02	0.000000000000000000e+00
1.400000000000000133e-01	0.000000000000000000e+00
2.099999999999999922e-01	0.000000000000000000e+00
2.700000000000000178e-01	0.000000000000000000e+00
3.400000000000000244e-01	0.000000000000000000e+00
4.099999999999999756e-01	0.000000000000000000e+00
4.699999999999999734e-01	0.000000000000000000e+00
5.400000000000000355e-01	0.000000000000000000e+00
6.099999999999999867e-01	0.000000000000000000e+00
6.700000000000000400e-01	0.000000000000000000e+00
7.399999999999999911e-01	0.000000000000000000e+00
8.100000000000000533e-01	0.000000000000000000e+00
8.699999999999999956e-01	0.000000000000000000e+00
9.399999999999999467e-01	0.000000000000000000e+00
1.010000000000000009e+00	0.000000000000000000e+00
1.070000000000000062e+00	0.000000000000000000e+00
1.139999999999999902e+00	0.000000000000000000e+00
1.209999999999999964e+00	1.000000000000000000e+00
1.270000000000000018e+00	1.000000000000000000e+00
1.340000000000000080e+00	1.000000000000000000e+00
1.409999999999999920e+00	0.000000000000000000e+00
1.469999999999999973e+00	3.000000000000000000e+00
1.540000000000000036e+00	4.000000000000000000e+00
1.610000000000000098e+00	1.000000000000000000e+00
1.669999999999999929e+00	2.000000000000000000e+00
1.739999999999999991e+00	4.000000000000000000e+00
1.810000000000000053e+00	2.000000000000000000e+00
1.870000000000000107e+00	3.000000000000000000e+00
